,執行單位,標案名稱,詳細連結
3411,屏東縣政府水利處水利工程科,(108)里港鄉土庫村北安路旁排水改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372B2T&iprjno=1P201T1R23242E282G2D2G332K&iuid=3T3F4C4C3N4E3Q4A
3412,屏東縣政府交通旅遊處,107年度屏東縣候車亭建置工程(第二期),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252N2D282A47&iprjno=1O1Q1T1R23242D292A2D2K&iuid=3T3F4C4C3N4E3Q4A
3413,屏東縣立里港國民中學,屏東縣立里港國民中學新建室內棒球打擊場工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2E2C3M&iprjno=1P1Q251R22242E&iuid=3T3F4C4C3N4E3Q4A
3414,屏東縣立里港國民中學,屏東縣立里港國民中學專科大樓老舊廁所整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2E2C3M&iprjno=1P1Q261R22242C&iuid=3T3F4C4C3N4E3Q4A
3415,屏東縣高樹鄉公所,107年度荖濃溪高美大橋下游河段疏濬作業(第二區)周邊工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252A27282A2T&iprjno=1P1Q25202426&iuid=3T3F4C4C3N4E3Q4A
3416,屏東縣里港鄉公所,105年荖濃溪斷面92-94河段疏濬週邊工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292F282A2T&iprjno=1P1Q232029242A252B&iuid=3T3F4C4C3N4E3Q4A
3417,屏東縣里港鄉公所,里港鄉三部村卓加社區排水應急工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292F282A2T&iprjno=1P1Q261R222A2728&iuid=3T3F4C4C3N4E3Q4A
3418,屏東縣里港鄉公所,過江河堤公園棒壘球場新設暨週邊步道綠美化工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292F282A2T&iprjno=1P1Q221R2326272F272D&iuid=3T3F4C4C3N4E3Q4A
3419,屏東縣里港鄉公所,土庫林仔頭農路路面改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292F282A2T&iprjno=1P1Q231R2326282H&iuid=3T3F4C4C3N4E3Q4A
3420,屏東縣里港鄉公所,107年度土庫村道路路面改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292F282A2T&iprjno=1P1Q251R222B262B&iuid=3T3F4C4C3N4E3Q4A
3421,屏東縣里港鄉公所,108年里港鄉立游泳池整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292F282A2T&iprjno=1P1Q261R2227272A&iuid=3T3F4C4C3N4E3Q4A
3422,屏東縣政府環境保護局,高屏溪裸露地綠化計畫工程標,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252626282A47&iprjno=2E1S1P21222B27282B2K&iuid=3T3F4C4C3N4E3Q4A
3423,屏東縣政府警察局,里港分局辦公廳舍新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525252E282A31&iprjno=2Q2S1P21222B262B2B2G&iuid=3T3F4C4C3N4E3Q4A
3424,交通部公路總局第三區養護工程處潮州工務段,潮州工務段屏東監工站轄區108年度省道預約暗溝疏濬工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2322272429282C3B&iprjno=1P1Q25202324272B2F2J&iuid=3T3F4C4C3N4E3Q4A
3425,交通部公路總局第三區養護工程處潮州工務段,台22線19K+300~23K+535路面修復工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2322272429282C3B&iprjno=1P1Q262022262A2E2J2E&iuid=3T3F4C4C3N4E3Q4A
3426,交通部公路總局第三區養護工程處潮州工務段,潮州工務段屏東監工站108年度台3線土庫~屏東及台1線頂柳~麟洛間綠美化維護工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2322272429282C3B&iprjno=1P1Q2520222D292E2E2F&iuid=3T3F4C4C3N4E3Q4A
3427,經濟部水利署第七河川局,隘寮溪里港堤防河川環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212222252D282A35&iprjno=1P1Q26202529&iuid=3T3F4C4C3N4E3Q4A
3428,經濟部水利署第七河川局,108年度荖濃溪里嶺大橋上游河段採售分離計畫-工程標,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212222252D282A35&iprjno=2M2O1T202A242629&iuid=3T3F4C4C3N4E3Q4A
3429,經濟部水利署第七河川局,108年度隘寮溪高樹大橋下游河段採售分離計畫-工程標,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212222252D282A35&iprjno=2J2J1T202A242629&iuid=3T3F4C4C3N4E3Q4A
3430,屏東縣政府水利處水利工程科,(107年8月豪雨)九如鄉武洛溪東寧段災後復建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372B2T&iprjno=1P201T1R23242E282H2C2J3I2K&iuid=3T3F4C4C3N4E3Q4A
3431,屏東縣政府水利處水利工程科,107年武洛溪排水(九如橋-東寧橋)護岸維護工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372B2T&iprjno=1P201T1R23242D282I2C2M332J&iuid=3T3F4C4C3N4E3Q4A
3432,屏東縣政府水利處水利工程科,武洛溪排水整治工程(九塊埤橋下游~新武洛橋)(含橋樑改建)併辦土石標售,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372B2T&iprjno=1P201T1R23242B282D2D2K&iuid=3T3F4C4C3N4E3Q4A
3433,屏東縣政府工務處營建工程科,屏東縣立九如國中責任樓耐震能力補強工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242E282E2E2N332J&iuid=3T3F4C4C3N4E3Q4A
3434,屏東縣政府工務處營建工程科,屏東縣九如高齡者照護園區整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242D292B2D2G332J&iuid=3T3F4C4C3N4E3Q4A
3435,屏東縣九如鄉九如國民小學,屏東縣九如國小「風雨球場新（整）建工程」,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2R2D3N&iprjno=1P1Q252123252C&iuid=3T3F4C4C3N4E3Q4A
3436,屏東縣九如鄉公所,九如鄉九如路、榮泉街及水尾路道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292E282A2T&iprjno=1P1Q262H22292929&iuid=3T3F4C4C3N4E3Q4A
3437,屏東縣九如鄉公所,107年度高屏溪斜張橋下游河段疏濬作業周邊工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292E282A2T&iprjno=1P1Q252H2326262C&iuid=3T3F4C4C3N4E3Q4A
3438,中華郵政股份有限公司屏東郵局,屏東九如郵局局屋整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R232826252F282A3B&iprjno=1P1Q262023242B2A2J&iuid=3T3F4C4C3N4E3Q4A
3439,台灣自來水股份有限公司第七區管理處,九如鄉玉泉1、2號井鑿井工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D282A39&iprjno=2G381P202A21262F2B2F2B2G2M&iuid=3T3F4C4C3N4E3Q4A
3440,台灣自來水股份有限公司第七區管理處,九如鄉台三線九東路至平和路管線工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D282A39&iprjno=2G381P202A21262F2B2F2B2G2O&iuid=3T3F4C4C3N4E3Q4A
3441,經濟部水利署第七河川局,武洛溪排水整治工程(虎尾溝匯流處至九如橋),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212222252D282A35&iprjno=1P1Q2420282A&iuid=3T3F4C4C3N4E3Q4A
3442,屏東縣政府工務處養護科,(108)屏43線0K+000-1K+100等道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372D47&iprjno=1O23211R23242E282E2C2N3I2J&iuid=3T3F4C4C3N4E3Q4A
3443,屏東縣政府工務處養護科,(108)屏39線5K+160-5K+710道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372D47&iprjno=1O23211R23242E282E2D2N332O&iuid=3T3F4C4C3N4E3Q4A
3444,行政院農業委員會水土保持局臺南分局,賴家莊排水及立德及立志農路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R202320272526282A35&iprjno=1P1Q262M36272A282C292E2J2R&iuid=3T3F4C4C3N4E3Q4A
3445,屏東縣政府水利處水利工程科,番仔寮排水改善工程(第二期)(7k+808~9k+103)-橋梁改建,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372B2T&iprjno=1P201T1R23242C292A2C2H332M&iuid=3T3F4C4C3N4E3Q4A
3446,屏東縣政府工務處土木科,108-長治鄉德榮村及崙上村及麟洛鄉永興巷等零星道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372B47&iprjno=1O231T1R23242E282H2D2M332K&iuid=3T3F4C4C3N4E3Q4A
3447,屏東縣長治鄉德協國民小學,德協國小風雨球場新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2R2I3N&iprjno=2E311T20292526292G&iuid=3T3F4C4C3N4E3Q4A
3448,屏東縣長治鄉德協國民小學,德協國小思源樓西側、勤學樓東側廁所整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2R2I3N&iprjno=2E311P21222C262D2B2C&iuid=3T3F4C4C3N4E3Q4A
3449,屏東縣長治鄉長興國民小學,109年新設長興非營利幼兒園教學設備購置及裝修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2R2G3N&iprjno=1P1Q262029252F&iuid=3T3F4C4C3N4E3Q4A
3450,屏東縣長治鄉長興國民小學,屏東縣長興國小東棟南北側老舊廁所整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2R2G3N&iprjno=1P1Q2620272526&iuid=3T3F4C4C3N4E3Q4A
3451,屏東縣立長治國民中學,足球場地整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2D2C3M&iprjno=1P1Q2620272428&iuid=3T3F4C4C3N4E3Q4A
3452,屏東縣長治鄉公所,長治鄉德協村德新路及繁華村南華街等排水及道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292C282A2T&iprjno=1P1Q2620282527&iuid=3T3F4C4C3N4E3Q4A
3453,屏東縣政府消防局,崁頂消防分隊地坪整修及特搜大隊廳舍週邊附屬設施改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525252F282A31&iprjno=2Q2I1P21222B262E2B2F&iuid=3T3F4C4C3N4E3Q4A
3454,農業委員會屏東農業生物技術園區籌備處,農科園區多功能生活服務區機電系統整合工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R202324252426282A35&iprjno=1P1Q252I222B&iuid=3T3F4C4C3N4E3Q4A
3455,農業委員會屏東農業生物技術園區籌備處,農科園區多功能生活服務區室內裝修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R202324252426282A35&iprjno=1P1Q262I2227&iuid=3T3F4C4C3N4E3Q4A
3456,行政院農業委員會高雄區農業改良場,行政大樓A區冷氣空調主機汰換一套,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R202323272426282A35&iprjno=1P1Q262I222729253T&iuid=3T3F4C4C3N4E3Q4A
3457,行政院農業委員會水土保持局臺南分局,長治鄉繁華三和及新榮路支線道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R202320272526282A35&iprjno=1P1Q2634312L23282C2E2B2G2I2M&iuid=3T3F4C4C3N4E3Q4A
3458,台灣中油股份有限公司油品行銷事業部高雄營業處,長治加油站改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2125222827282H39&iprjno=2E2D2G20292927282A2E&iuid=3T3F4C4C3N4E3Q4A
3459,臺灣糖業股份有限公司,東海豐負壓水濂及綠能設計豬場統包工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2123222426282A39&iprjno=211S1S202N25262E2S2C2H&iuid=3T3F4C4C3N4E3Q4A
3460,內政部營建署南區工程處,「農業生物科技園區擴充計畫公共設施工程（土建工程第一標）」,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T20242529282A35&iprjno=1L2F1T20282126292A2D2B2H2L2K2S2L2Q2S3532&iuid=3T3F4C4C3N4E3Q4A
3461,內政部營建署南區工程處,農科園區多功能生活服務區新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T20242529282A35&iprjno=1R1N2H23222723282B292E2O2F2L2P2O322P3233&iuid=3T3F4C4C3N4E3Q4A
3462,內政部營建署南區工程處,農業生物科技園區擴充計畫公共設施工程(天然氣工程標),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T20242529282A35&iprjno=1L2F1T20282126292A2D2B2H2L2K2S2L2Q2S3832&iuid=3T3F4C4C3N4E3Q4A
3463,內政部營建署南區工程處,「農業生物科技園區擴充計畫公共設施工程（土建工程第三標）」,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T20242529282A35&iprjno=1L2F1T20282126292A2D2B2H2L2K2S2L2Q2S3732&iuid=3T3F4C4C3N4E3Q4A
3464,內政部營建署南區工程處,農科園區水資源處理場第二期擴建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T20242529282A35&iprjno=1P1Q251R2L26262E272C2F2D2I2L2J2P2T2S36&iuid=3T3F4C4C3N4E3Q4A
3465,內政部營建署南區工程處,「農業生物科技園區擴充計畫公共設施工程（土建工程第二標）」,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T20242529282A35&iprjno=1L2F1T20282126292A2D2B2H2L2K2S2L2Q2S3632&iuid=3T3F4C4C3N4E3Q4A
3466,屏東縣政府水利處水利工程科,(107年8月豪雨)萬丹鄉麟洛排水竹林段災後復建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372B2T&iprjno=1P201T1R23242E282D2C2L3I2J&iuid=3T3F4C4C3N4E3Q4A
3467,屏東縣政府工務處公園管理科,屏東縣沿山公路環保林蔭自行車道新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372E47&iprjno=1O23211R23242D282I2D2F332J&iuid=3T3F4C4C3N4E3Q4A
3468,屏東縣政府工務處養護科,(108)屏東縣屏東市前進、玉成社區及萬丹鄉廈北、新鐘、寶厝、田厝社區道路及排水改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372D47&iprjno=1O23211R23242E282H2E2G3I2J&iuid=3T3F4C4C3N4E3Q4A
3469,屏東縣政府工務處養護科,(108)屏52線0K+840-2K+550道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372D47&iprjno=1O23211R23242E282E2D2N332J&iuid=3T3F4C4C3N4E3Q4A
3470,屏東縣政府工務處營建工程科,屏東縣立萬丹游泳池整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242E282D2C2M332J&iuid=3T3F4C4C3N4E3Q4A
3471,屏東縣政府工務處營建工程科,新興國小老舊校舍整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242D282B2C2I3I2J&iuid=3T3F4C4C3N4E3Q4A
3472,屏東縣政府工務處營建工程科,屏東縣興化國小老舊校舍整建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242D292A2F2E3I2J&iuid=3T3F4C4C3N4E3Q4A
3473,屏東縣萬丹鄉新庄國民小學,新庄國小107-3南棟教室老舊廁所整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2Q2G3N&iprjno=2T2M1T202A242D2P&iuid=3T3F4C4C3N4E3Q4A
3474,屏東縣立萬新國民中學,萬新國中校園全區性景觀及道路整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2H2B3M&iprjno=33311T202A242C282F&iuid=3T3F4C4C3N4E3Q4A
3475,屏東縣立萬丹國民中學,屏東縣立萬丹國民中學「107年度改善及充實教學環境設備-科學館後方教師停車場地面拉高填平暨前方左右地面鋪設連鎖磚工程」,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252D2B2D2H3M&iprjno=1P1Q26202229&iuid=3T3F4C4C3N4E3Q4A
3476,屏東縣萬丹鄉公所,屏東縣萬丹鄉四維國小周邊共同管溝建置與無障礙通學人行步道改善統包工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292B282A2T&iprjno=1P1Q2528222428&iuid=3T3F4C4C3N4E3Q4A
3477,屏東縣萬丹鄉公所,萬丹鄉公所資源回收貯存場興建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292B282A2T&iprjno=1P1Q2522232B&iuid=3T3F4C4C3N4E3Q4A
3478,屏東縣萬丹鄉公所,屏東縣萬丹鄉多功能步道人行環境改善計畫,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292B282A2T&iprjno=1P1Q25222324&iuid=3T3F4C4C3N4E3Q4A
3479,屏東縣萬丹鄉公所,萬丹鄉第二座納骨堂興建及第一座納骨堂整修補強統包工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292B282A2T&iprjno=1P1Q24232227&iuid=3T3F4C4C3N4E3Q4A
3480,屏東縣萬丹鄉公所,屏東縣萬丹鄉大憲宮廟埕廣場暨周邊無障礙人行步道環境改善等計畫,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292B282A2T&iprjno=1P1Q2521222428&iuid=3T3F4C4C3N4E3Q4A
3481,屏東縣萬丹鄉公所,(108)萬丹鄉農地重劃區農水路維護工程(開口契約),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R23242525292B282A2T&iprjno=1P1Q26292227&iuid=3T3F4C4C3N4E3Q4A
3482,屏東縣政府環境保護局,興化廍排水水質淨化場新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252626282A47&iprjno=2E1S1P21222B27292C2E&iuid=3T3F4C4C3N4E3Q4A
3483,行政院農業委員會水土保持局臺南分局,興安村大興路道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R202320272526282A35&iprjno=1P1Q262M36272A292I292E2G2K&iuid=3T3F4C4C3N4E3Q4A
3484,台灣自來水股份有限公司南區工程處,萬丹淨水場第一期興建工程(機電),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2125242629282A39&iprjno=33301P202A21262F2B2F2B2H2L&iuid=3T3F4C4C3N4E3Q4A
3485,台灣自來水股份有限公司南區工程處,萬丹淨水場第一期興建工程(土建),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R2125242629282A39&iprjno=33301P202A21262F2B2F2B2G2J&iuid=3T3F4C4C3N4E3Q4A
3486,台灣自來水股份有限公司第七區管理處屏東營運所,萬丹鄉新庄村巷道延管工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D3B2G39&iprjno=2Q2H1P202A21262F2B2F2B2G2O&iuid=3T3F4C4C3N4E3Q4A
3487,台灣自來水股份有限公司第七區管理處,萬丹頂新深井500mm導水管工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D282A39&iprjno=2G381P202A21262F2B2F2B2G2N&iuid=3T3F4C4C3N4E3Q4A
3488,台灣自來水股份有限公司第七區管理處,萬丹鄉中興路供水管線工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D282A39&iprjno=2G381P202921262F2B2F2B2H2I&iuid=3T3F4C4C3N4E3Q4A
3489,台灣自來水股份有限公司第七區管理處,萬丹淨水場深井機電工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D282A39&iprjno=2G381P202A21262F2B2F2B2G2J&iuid=3T3F4C4C3N4E3Q4A
3490,台灣自來水股份有限公司第七區管理處,萬丹鄉萬丹路二段供水管線工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D282A39&iprjno=2G381P202921262F2B2F2B2G2Q&iuid=3T3F4C4C3N4E3Q4A
3491,台灣自來水股份有限公司第七區管理處,萬丹鄉丹榮路供水管線工程(和平東路至中興路),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R212524242D282A39&iprjno=2G381P202A21262F2B2F2B2G2K&iuid=3T3F4C4C3N4E3Q4A
3492,屏東縣政府水利處水土保持科,108年度龍鑾潭排水上游河道整理工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372E2T&iprjno=1P20201R23242E282E2E2N&iuid=3T3F4C4C3N4E3Q4A
3493,屏東縣政府水利處水土保持科,恆春鎮大光里大光路旁野溪改善二期工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372E2T&iprjno=1P20201R23242E282G2E2L&iuid=3T3F4C4C3N4E3Q4A
3494,屏東縣政府水利處水土保持科,恆春鎮屏160鄉道旁野溪治理工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372E2T&iprjno=1P20201R23242E282C2C2F&iuid=3T3F4C4C3N4E3Q4A
3495,屏東縣政府水利處水土保持科,牡丹鄉汝仍溪野溪治理工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372E2T&iprjno=1P20201R23242E282G2C2I332J&iuid=3T3F4C4C3N4E3Q4A
3496,屏東縣政府水利處水土保持科,出火風景區旁東門溪上游支流野溪治理工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372E2T&iprjno=1P20201R23242E282H2C2I&iuid=3T3F4C4C3N4E3Q4A
3497,屏東縣政府水利處水土保持科,恆春鎮砂尾路旁野溪治理工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372E2T&iprjno=1P20201R23242E282E2C2G332M&iuid=3T3F4C4C3N4E3Q4A
3498,屏東縣政府水利處水利工程科,東門溪排水改善工程(9k+100~龍鑾橋),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425253328372B2T&iprjno=1P201T1R23242D282B2E2H332J&iuid=3T3F4C4C3N4E3Q4A
3499,屏東縣文化資產保護所,莫蘭蒂災損國定古蹟恆春古城緊急搶修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252P2B282I47&iprjno=1O251S1R23242D282F2E2J3I2J&iuid=3T3F4C4C3N4E3Q4A
3500,屏東縣文化資產保護所,恆春古城馬道磚及相關設施修復工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252P2B282I47&iprjno=1O251S1R23242D292B2E2N3I2J&iuid=3T3F4C4C3N4E3Q4A
3501,屏東縣文化資產保護所,國定古蹟恆春古城設施修繕工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252P2B282I47&iprjno=1O251S1R23242D292C2C2K3I2J&iuid=3T3F4C4C3N4E3Q4A
3502,屏東縣政府文化處藝文推廣科,恆春古城環城光環境營造工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252P2B282C47&iprjno=1O25201R23242D282I2C2M332J&iuid=3T3F4C4C3N4E3Q4A
3503,屏東縣海洋及漁業事務管理所,恆春區漁會所報海口等9處漁港碼頭附屬及照明設施修繕工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M29282B47&iprjno=1O1S201R23242E282E2D2F2D2J&iuid=3T3F4C4C3N4E3Q4A
3504,屏東縣海洋及漁業事務管理所,後壁湖曳船道改建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M29282B47&iprjno=1O1S201R23242E282D2D2G2D2J&iuid=3T3F4C4C3N4E3Q4A
3505,屏東縣海洋及漁業事務管理所,後壁湖漁港排水溝及鋪面新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M29282B47&iprjno=1O1S201R23242E282E2E2H2D2J&iuid=3T3F4C4C3N4E3Q4A
3506,屏東縣政府工務處養護科,(107)屏東縣恆春鎮省北路至東門路提升道路品質工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372D47&iprjno=1O23211R23242D292A2D2K332J&iuid=3T3F4C4C3N4E3Q4A
3507,屏東縣政府工務處養護科,(108)屏151線5k+350-6k+150道路改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372D47&iprjno=1O23211R23242E282E2D2N332N&iuid=3T3F4C4C3N4E3Q4A
3508,屏東縣政府工務處營建工程科,恆春社福館含公托新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242E282D2C2K332J&iuid=3T3F4C4C3N4E3Q4A
3509,屏東縣政府工務處營建工程科,屏東縣鵝鑾鼻老人多元照顧活動中心新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242D292A2D2L332J&iuid=3T3F4C4C3N4E3Q4A
3510,屏東縣政府工務處營建工程科,屏東縣恆春鎮教師集中宿舍新建統包工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R232425252M27372C47&iprjno=1O23241R23242D282I2D2E3I2J&iuid=3T3F4C4C3N4E3Q4A
